deployment name,protocol name,protocol type,network,status,slug,query-id
across-v2-arbitrum,across-v2,bridge,arbitrum,prod,across-v2-arbitrum,3rg6ZtwNUMpBrM1uSUtNqcbc6tGfyY2WLheDGSc5qMzX
across-v2-boba,across-v2,bridge,boba,prod,across-v2-boba,4SbLL5ZptwGU9Eor3SaoV3UZw12KPiZRKkwBEbKDenjP
across-v2-ethereum,across-v2,bridge,ethereum,prod,across-v2-ethereum,34kdiaZVpPsStQdsh5xFhrZdsZvZYJGfhJ7SVGWY2Y8g
across-v2-optimism,across-v2,bridge,optimism,prod,across-v2-optimism,GY9s64KVsRkW4Q8pCBKQePyDdcUV1TV1ArWFzvMv2qVb
across-v2-polygon,across-v2,bridge,polygon,prod,across-v2-polygon,8ywQVEAGn6wAGdYa4ofniy52CMsYMHyK6CbBrL4ZE7ks
arbitrum-one-bridge-arbitrum,arbitrum-one-bridge,bridge,arbitrum,prod,arbitrum-one-bridge-arbitrum,2rQHtwHiK2TCB4bQtgLybf8gGHCRVjANPzKTYss7B1n4
arbitrum-one-bridge-ethereum,arbitrum-one-bridge,bridge,ethereum,prod,arbitrum-one-bridge-ethereum,6XazDBEjAVADSXbiBoXBBVwxTYf4PXRtucxn5vRQFLch
axelar-ethereum,axelar,bridge,ethereum,prod,axelar-ethereum,8u1rrGZY3gjXAAVJidygbpKeHzitrMSQV1RoLAkyd1AA
cbridge-arbitrum,cbridge,bridge,arbitrum,prod,cbridge-arbitrum,FGucK6FiGDyjwA1VDymrCQXgSTdZH7sCrP8HbnwVFatY
cbridge-aurora,cbridge,bridge,aurora,prod,cbridge-aurora,5uW7hwPPaHVEY7qqx5S9CV156YE7Dvjt2AAPiJ4mn12h
cbridge-avalanche,cbridge,bridge,avalanche,prod,cbridge-avalanche,2usVF8JKwgVesvXVkLj2KG6ourAPEVG7GV6j1MtTwhVa
cbridge-boba,cbridge,bridge,boba,prod,cbridge-boba,AZd3VzvnYoxBKAWjbZB4snZgow9SnyTTxaxad3YPxbvh
cbridge-bsc,cbridge,bridge,bsc,prod,cbridge-bsc,9ryiazBA4UJu1g2rbunQ42wqxvhdZP648p2jiBMjcoZc
cbridge-celo,cbridge,bridge,celo,prod,cbridge-celo,Exzi1255D9QkAzLhcS1qrVXVDMdkQvQ6wxRDjpi9uQz6
cbridge-ethereum,cbridge,bridge,ethereum,prod,cbridge-ethereum,3C9qpsGFHrAnXkmPoeRbMjH9gyTuQskzB29VrrV8NbAN
cbridge-fantom,cbridge,bridge,fantom,prod,cbridge-fantom,Ce9MWULyvFUXRqN7LgehQVy3XBGhxk3qtFJhgznHYY3x
